ReturnQuantity,ModelName,ProductCost,ProductPrice,Region,Country,Continent,SubcategoryName,CategoryName,Month,Week,Day,Season,Productprice,GrossProfitLoss
1,Mountain-200,1105.81,2049.0982,Australia,Australia,Pacific,Mountain Bikes,Bikes,January,1,Thursday,Winter,2049.0982,943.2882
1,Road-250,1320.6838,2181.5625,Germany,Germany,Europe,Road Bikes,Bikes,January,1,Saturday,Winter,2181.5625,860.8787
1,Road-550-W,605.6492,1000.4375,Australia,Australia,Pacific,Road Bikes,Bikes,January,1,Sunday,Winter,1000.4375,394.78830000000005
1,Road-250,1320.6838,2181.5625,France,France,Europe,Road Bikes,Bikes,January,2,Saturday,Winter,2181.5625,860.8787
1,Road-650,413.1463,699.0982,Southwest,United States,North America,Road Bikes,Bikes,January,3,Saturday,Winter,699.0982,285.9519
1,Mountain-200,1117.8559,2071.4196,Australia,Australia,Pacific,Mountain Bikes,Bikes,January,3,Saturday,Winter,2071.4196,953.5637000000002
1,Road-650,413.1463,699.0982,Australia,Australia,Pacific,Road Bikes,Bikes,January,4,Tuesday,Winter,699.0982,285.9519
1,Mountain-200,1105.81,2049.0982,Southwest,United States,North America,Mountain Bikes,Bikes,January,4,Sunday,Winter,2049.0982,943.2882
1,Mountain-200,1117.8559,2071.4196,Northwest,United States,North America,Mountain Bikes,Bikes,February,5,Monday,Winter,2071.4196,953.5637000000002
1,Road-650,413.1463,699.0982,Australia,Australia,Pacific,Road Bikes,Bikes,February,6,Friday,Winter,699.0982,285.9519
1,Road-550-W,605.6492,1000.4375,Southwest,United States,North America,Road Bikes,Bikes,February,6,Sunday,Winter,1000.4375,394.78830000000005
1,Road-650,413.1463,699.0982,Australia,Australia,Pacific,Road Bikes,Bikes,February,7,Saturday,Winter,699.0982,285.9519
1,Road-250,1320.6838,2181.5625,Australia,Australia,Pacific,Road Bikes,Bikes,February,7,Saturday,Winter,2181.5625,860.8787
1,Road-250,1518.7864,2443.35,Germany,Germany,Europe,Road Bikes,Bikes,February,8,Monday,Winter,2443.35,924.5636
1,Mountain-200,1105.81,2049.0982,Australia,Australia,Pacific,Mountain Bikes,Bikes,February,8,Monday,Winter,2049.0982,943.2882
1,Road-250,1518.7864,2443.35,Australia,Australia,Pacific,Road Bikes,Bikes,February,8,Thursday,Winter,2443.35,924.5636
1,Mountain-200,1117.8559,2071.4196,Australia,Australia,Pacific,Mountain Bikes,Bikes,March,10,Tuesday,Spring,2071.4196,953.5637000000002
1,Road-650,413.1463,699.0982,Northwest,United States,North America,Road Bikes,Bikes,March,10,Saturday,Spring,699.0982,285.9519
1,Road-250,1518.7864,2443.35,France,France,Europe,Road Bikes,Bikes,March,11,Friday,Spring,2443.35,924.5636
1,Mountain-200,1105.81,2049.0982,Australia,Australia,Pacific,Mountain Bikes,Bikes,March,11,Sunday,Spring,2049.0982,943.2882
1,Road-650,413.1463,699.0982,Canada,Canada,North America,Road Bikes,Bikes,March,12,Monday,Spring,699.0982,285.9519
1,Road-650,413.1463,699.0982,France,France,Europe,Road Bikes,Bikes,March,12,Thursday,Spring,699.0982,285.9519
1,Road-250,1320.6838,2181.5625,Australia,Australia,Pacific,Road Bikes,Bikes,March,13,Tuesday,Spring,2181.5625,860.8787
1,Road-250,1518.7864,2443.35,France,France,Europe,Road Bikes,Bikes,March,13,Thursday,Spring,2443.35,924.5636
1,Road-250,1320.6838,2181.5625,Germany,Germany,Europe,Road Bikes,Bikes,April,13,Friday,Spring,2181.5625,860.8787
1,Road-550-W,605.6492,1000.4375,France,France,Europe,Road Bikes,Bikes,April,14,Monday,Spring,1000.4375,394.78830000000005
1,Mountain-200,1105.81,2049.0982,Germany,Germany,Europe,Mountain Bikes,Bikes,April,15,Wednesday,Spring,2049.0982,943.2882
1,Road-650,413.1463,699.0982,Northwest,United States,North America,Road Bikes,Bikes,April,17,Monday,Spring,699.0982,285.9519
1,Road-250,1320.6838,2181.5625,Southwest,United States,North America,Road Bikes,Bikes,April,17,Wednesday,Spring,2181.5625,860.8787
1,Road-650,413.1463,699.0982,Northwest,United States,North America,Road Bikes,Bikes,May,17,Sunday,Spring,699.0982,285.9519
1,Mountain-200,1117.8559,2071.4196,Australia,Australia,Pacific,Mountain Bikes,Bikes,May,17,Sunday,Spring,2071.4196,953.5637000000002
1,Road-250,1518.7864,2443.35,Australia,Australia,Pacific,Road Bikes,Bikes,May,18,Tuesday,Spring,2443.35,924.5636
1,Mountain-200,1117.8559,2071.4196,France,France,Europe,Mountain Bikes,Bikes,May,19,Wednesday,Spring,2071.4196,953.5637000000002
1,Mountain-200,1117.8559,2071.4196,Australia,Australia,Pacific,Mountain Bikes,Bikes,May,20,Monday,Spring,2071.4196,953.5637000000002
1,Road-250,1320.6838,2181.5625,Southwest,United States,North America,Road Bikes,Bikes,May,20,Saturday,Spring,2181.5625,860.8787
1,Road-650,413.1463,699.0982,Germany,Germany,Europe,Road Bikes,Bikes,May,21,Monday,Spring,699.0982,285.9519
1,Mountain-200,1105.81,2049.0982,France,France,Europe,Mountain Bikes,Bikes,May,21,Thursday,Spring,2049.0982,943.2882
1,Road-650,413.1463,699.0982,France,France,Europe,Road Bikes,Bikes,May,21,Friday,Spring,699.0982,285.9519
1,Road-250,1518.7864,2443.35,Southwest,United States,North America,Road Bikes,Bikes,May,22,Tuesday,Spring,2443.35,924.5636
1,Mountain-200,1117.8559,2071.4196,Southwest,United States,North America,Mountain Bikes,Bikes,June,23,Friday,Summer,2071.4196,953.5637000000002
1,Road-550-W,605.6492,1000.4375,United Kingdom,United Kingdom,Europe,Road Bikes,Bikes,June,23,Sunday,Summer,1000.4375,394.78830000000005
1,Road-250,1320.6838,2181.5625,Southwest,United States,North America,Road Bikes,Bikes,June,24,Monday,Summer,2181.5625,860.8787
1,Road-650,413.1463,699.0982,Southwest,United States,North America,Road Bikes,Bikes,June,24,Wednesday,Summer,699.0982,285.9519
1,Road-650,413.1463,699.0982,Northwest,United States,North America,Road Bikes,Bikes,June,24,Sunday,Summer,699.0982,285.9519
1,Road-250,1518.7864,2443.35,United Kingdom,United Kingdom,Europe,Road Bikes,Bikes,June,25,Tuesday,Summer,2443.35,924.5636
1,Road-250,1518.7864,2443.35,France,France,Europe,Road Bikes,Bikes,June,25,Saturday,Summer,2443.35,924.5636
1,Mountain-200,1105.81,2049.0982,Australia,Australia,Pacific,Mountain Bikes,Bikes,June,26,Monday,Summer,2049.0982,943.2882
1,Road-250,1320.6838,2181.5625,Australia,Australia,Pacific,Road Bikes,Bikes,July,26,Saturday,Summer,2181.5625,860.8787
1,Mountain-200,1117.8559,2071.4196,Australia,Australia,Pacific,Mountain Bikes,Bikes,July,26,Sunday,Summer,2071.4196,953.5637000000002
1,Water Bottle,1.8663,4.99,Australia,Australia,Pacific,Bottles and Cages,Accessories,July,26,Sunday,Summer,4.99,3.1237000000000004
